ADC1	ADC2
52	33
51	29
48	34
50	31
44	27
50	31
48	29
47	28
48	32
48	29
50	30
50	32
51	31
49	25
49	30
48	28
53	32
48	31
49	31
50	33
50	32
49	32
49	28
50	30
50	29
48	30
49	29
50	37
49	29
48	30
50	32
49	29
48	26
51	28
50	26
50	30
47	28
50	32
50	28
49	29
50	31
48	32
49	28
46	32
49	31
50	28
49	29
49	32
49	30
50	33
49	27
50	30
49	29
51	33
51	36
47	26
50	31
51	32
51	32
49	31
48	28
50	30
50	32
47	31
49	31
50	33
48	30
49	33
48	29
50	30
50	29
48	28
49	31
49	30
48	32
49	34
49	32
50	31
49	30
50	35
48	28
48	28
49	30
50	27
50	31
49	32
48	30
49	32
51	30
49	26
50	33
51	29
49	29
51	30
49	29
49	30
49	32
48	28
52	32
50	32
52	30
49	28
50	33
46	29
48	29
49	28
48	32
50	32
52	31
48	30
49	31
50	31
48	32
52	30
49	30
50	32
49	32
49	29
48	30
49	31
48	30
48	33
49	33
50	31
51	31
48	28
49	30
52	25
49	32
51	30
48	34
48	32
48	32
49	33
48	29
49	30
49	29
50	30
48	31
52	28
48	30
51	28
51	32
47	29
50	29
49	31
46	32
50	28
51	32
49	27
49	30
52	32
48	29
51	32
47	31
49	30
49	32
48	30
49	35
49	29
48	30
47	30
50	32
50	32
49	32
48	33
51	34
49	32
48	33
48	32
48	30
52	29
48	29
50	29
48	29
48	30
50	30
50	32
47	25
49	30
48	30
50	32
51	29
49	26
51	31
52	30
48	29
52	30
45	28
48	28
49	30
51	29
49	28
49	32
48	29
47	27
49	28
49	32
51	32
51	30
48	28
48	32
50	32
52	30
49	31
51	39
49	29
49	28
50	30
49	30
48	30
49	24
50	33
50	29
48	31
51	30
49	31
49	29
48	30
50	30
51	32
50	32
49	29
49	30
50	32
50	31
54	29
50	30
49	30
48	29
49	30
48	29
50	32
49	31
50	32
50	30
48	31
50	30
50	32
51	30
48	29
47	27
50	33
49	28
48	29
50	33
54	32
49	29
48	32
46	30
48	33
50	32
50	32
51	28
50	29
48	28
48	32
49	32
51	32
53	31
50	28
47	17
48	28
50	29
50	30
48	32
48	28
49	32
50	34
50	27
50	34
47	29
48	29
48	30
50	29
50	32
48	28
49	30
50	35
50	31
48	32
50	32
49	32
49	29
48	30
49	30
52	30
51	30
49	29
49	29
48	31
49	34
50	34
50	29
50	28
48	30
47	28
