ADC1	ADC2
1246	33
1245	35
1250	33
1245	32
1243	31
1241	34
1246	38
1246	34
1247	32
1245	34
1243	32
1246	33
1246	29
1245	37
1246	34
1244	34
1247	33
1244	34
1242	36
1244	34
1246	32
1244	33
1245	35
1245	34
1245	35
1244	32
1247	35
1243	35
1246	34
1248	34
1245	32
1245	37
1247	35
1247	33
1243	36
1247	34
1244	32
1245	35
1245	38
1244	33
1247	36
1246	34
1244	34
1246	33
1245	34
1245	33
1245	32
1244	36
1241	36
1245	34
1246	36
1246	35
1246	36
1247	34
1244	37
1244	30
1245	37
1247	38
1245	30
1244	32
1246	36
1246	35
1246	35
1246	32
1244	35
1250	34
1245	33
1244	34
1245	36
1243	35
1245	32
1245	35
1244	33
1247	32
1247	34
1247	34
1245	35
1246	33
1246	38
1243	36
1246	33
1250	35
1246	34
1243	34
1246	34
1245	28
1246	35
1245	34
1245	33
1246	35
1248	32
1247	32
1246	36
1245	37
1248	36
1245	34
1245	37
1246	33
1249	32
1246	33
1246	35
1244	34
1247	36
1244	34
1239	34
1245	32
1244	35
1248	35
1243	34
1245	34
1247	36
1245	34
1244	36
1246	37
1251	32
1244	34
1245	34
1246	34
1245	34
1245	34
1246	35
1245	33
1242	34
1246	33
1245	37
1246	33
1249	35
1248	37
1245	36
1245	32
1245	34
1242	33
1247	32
1247	35
1244	34
1246	37
1245	35
1241	36
1247	38
1246	35
1245	34
1246	35
1244	34
1244	34
1241	36
1245	34
1245	35
1247	35
1241	33
1245	35
1245	33
1246	37
1245	34
1243	37
1244	34
1245	35
1245	32
1244	32
1244	33
1246	30
1245	42
1244	35
1245	35
1245	32
1245	36
1247	34
1245	33
1244	38
1246	33
1247	38
1249	36
1251	34
1244	34
1244	36
1247	35
1246	34
1244	34
1245	34
1244	34
1247	32
1248	34
1243	34
1246	30
1246	33
1246	36
1246	35
1246	35
1244	35
1245	36
1246	35
1246	35
1244	34
1243	34
1246	34
1248	35
1245	37
1243	33
1244	34
1245	32
1247	34
1247	34
1246	34
1247	33
1246	35
1242	32
1246	34
1245	36
1246	36
1245	34
1244	32
1245	34
1244	38
1243	33
1246	34
1244	33
1246	33
1247	35
1245	34
1244	34
1245	37
1245	34
1245	36
1249	33
1243	34
1245	34
1243	33
1244	15
1245	33
1243	35
1248	35
1244	33
1247	33
1250	35
1247	28
1246	34
1246	36
1246	34
1245	34
1243	33
1246	34
1244	35
1246	31
1244	36
1250	35
1245	33
1245	36
1244	36
1246	32
1245	36
1246	35
1245	35
1244	6
1245	33
1245	34
1245	32
1242	33
1242	57
1243	35
1247	36
1244	34
1248	37
1245	32
1245	34
1245	36
1244	33
1246	30
1242	36
1248	38
1247	32
1245	34
1247	34
1243	34
1247	38
1244	34
1236	31
1245	33
1248	37
1246	32
1245	32
1246	34
1247	32
1244	34
1245	31
1249	37
1247	34
1248	36
1247	34
1244	34
1245	34
1243	33
1244	34
1245	37
1246	35
1246	33
1244	34
1245	33
1246	33
1246	34
1246	34
1245	37
1245	38
1246	33
1245	33
1245	32
1245	32
1246	32
1248	36
1247	32
1244	33
1246	32
1243	34
1246	34
1244	37
1246	36
1244	33
1249	34
1245	33
1245	38
1249	33
1245	33
1246	30
1245	33
1245	32
1246	35
1247	33
1245	35
1244	34
1246	34
1244	35
1246	34
1245	36
1244	34
1245	43
1246	32
1245	37
1245	32
1244	37
1246	34
1245	35
1244	34
1245	36
1245	36
1244	34
1245	33
1247	33
1245	36
1245	35
1243	32
1244	33
1246	34
1246	35
1244	34
1244	33
1249	32
1246	38
1245	34
1244	34
1246	32
1245	33
1244	33
1247	34
1247	32
1244	32
1245	33
1245	38
1245	34
1245	34
1249	34
1245	33
1244	26
1246	33
1246	35
1245	35
1246	34
1246	32
1245	32
1241	35
1247	34
1249	32
1245	36
1245	34
1243	35
1246	38
1245	30
1246	33
1249	34
1247	37
1247	34
1244	34
1245	33
1247	37
1247	27
1245	33
1248	33
1244	35
1248	32
1244	29
1245	38
1242	34
1245	36
1244	34
1247	37
1243	36
1246	34
