ADC1	ADC2
1245	8
1246	14
1247	10
1245	8
1246	10
1247	9
1248	11
1244	12
1245	10
1250	10
1247	10
1250	10
1247	6
1239	8
1243	10
1245	11
1246	10
1246	9
1245	10
1246	8
1246	6
1246	9
1244	9
1246	8
1246	8
1247	11
1249	9
1245	12
1248	8
1245	8
1238	10
1246	11
1243	12
1246	8
1246	9
1249	9
1247	4
1245	7
1245	12
1248	10
1244	8
1242	10
1246	9
1246	9
1248	12
1248	10
1247	9
1242	11
1246	9
1246	10
1247	9
1246	11
1245	12
1248	8
1245	10
1247	12
1247	9
1244	12
1246	11
1243	9
1246	9
1246	9
1246	8
1245	12
1248	10
1250	12
1242	8
1246	11
1247	8
1248	10
1247	11
1246	13
1248	12
1247	9
1245	9
1246	9
1247	12
1245	9
1247	7
1247	11
1245	11
1245	8
1246	8
1248	8
1245	9
1252	9
1245	9
1247	12
1246	11
1249	8
1246	10
1247	8
1245	11
1246	11
1246	11
1246	9
1247	12
1246	10
1247	11
1244	13
1243	6
1247	9
1246	11
1248	10
1243	9
1245	8
1245	9
1247	10
1246	10
1246	9
1245	10
1243	8
1246	11
1246	8
1246	11
1247	12
1244	9
1247	10
1246	10
1246	9
1247	9
1245	9
1247	9
1243	6
1245	8
1246	9
1247	8
1245	10
1245	11
1246	9
1249	9
1247	12
1245	11
1245	11
1246	7
1250	15
1248	13
1245	10
1246	11
1247	6
1244	11
1244	9
1245	8
1243	12
1245	11
1250	10
1246	9
1247	8
1245	11
1245	9
1245	7
1245	8
1243	10
1246	8
1245	12
1245	10
1245	9
1246	8
1245	10
1245	10
1247	9
1246	7
1244	9
1243	12
1249	12
1245	10
1246	10
1242	8
1246	8
1247	9
1247	10
1246	8
1247	10
1245	10
1245	10
1245	12
1244	10
1245	10
1246	10
1246	8
1245	12
1246	8
1245	9
1244	9
1248	12
1244	8
1249	11
1245	10
1248	9
1247	9
1245	10
1248	10
1245	9
1243	9
1247	8
1245	10
1243	9
1249	9
1246	6
1246	9
1244	8
1248	12
1245	6
1244	10
1244	13
1246	11
1244	10
1248	8
1250	12
1246	8
1245	14
1248	6
1245	7
1246	10
1246	9
1245	10
1243	8
1245	9
1250	8
1246	10
1249	8
1245	9
1245	8
1243	10
1246	11
1246	8
1246	10
1244	15
1244	8
1244	9
1246	8
1247	10
1246	10
1245	8
1247	12
1248	8
1244	12
1245	9
1245	8
1247	9
1245	9
1247	11
1246	8
1245	7
1246	12
1246	7
1247	10
1246	9
1243	10
1249	9
1246	8
1247	13
1245	10
1242	13
1246	8
1246	11
1246	10
1247	12
1245	9
1246	9
1247	10
1246	10
1246	6
1247	8
1246	15
1244	6
1246	10
1246	8
1230	7
1247	10
1246	10
1246	10
1246	10
1245	10
1243	11
1248	11
1247	10
1249	16
1248	10
1245	10
1246	10
1245	10
1245	7
1248	8
1247	8
1246	10
1247	12
1245	9
1245	7
1246	10
1248	8
1251	10
1243	9
1248	11
1249	12
1245	8
1244	9
1245	11
1247	13
1246	15
1244	8
1245	10
1243	12
1246	10
1245	8
1247	7
1247	13
1248	9
