ADC1	ADC2
1275	240
1277	241
1277	240
1275	244
1276	242
1276	239
1276	240
1277	244
1275	241
1277	245
1278	241
1276	238
1275	241
1276	238
1274	244
1275	246
1277	244
1278	242
1275	244
1277	239
1277	237
1276	240
1277	239
1277	242
1277	237
1277	242
1277	238
1277	239
1278	239
1278	246
1282	242
1277	242
1277	241
1277	245
1278	244
1270	238
1277	240
1275	240
1274	240
1275	237
1276	243
1276	242
1276	242
1276	246
1275	244
1276	249
1275	245
1275	247
1276	244
1274	240
1275	242
1274	244
1275	238
1273	243
1272	241
1274	243
1274	245
1274	244
1274	247
1274	241
1273	248
1274	241
1271	243
1272	249
1270	242
1273	248
1272	244
1272	243
1273	243
1273	239
1272	242
1269	249
1272	250
1271	243
1271	245
1271	246
1271	240
1271	247
1271	250
1268	245
1270	248
1271	243
1269	241
1271	244
1269	245
1269	241
1271	250
1270	251
1269	244
1269	245
1268	238
1268	240
1268	244
1268	251
1267	247
1267	249
1266	244
1267	251
1267	248
1267	249
1268	246
1268	248
1270	250
1269	249
1266	250
1266	241
1265	245
1264	246
1266	245
1264	241
1265	238
1263	249
1265	244
1265	239
1264	243
1264	239
1263	245
1264	241
1263	242
1265	237
1264	241
1264	235
1264	244
1263	246
1263	244
1263	246
1263	240
1263	238
1262	240
1261	245
1260	236
1261	243
1261	239
1263	238
1261	241
1262	239
1262	240
1261	240
1262	244
1263	236
1262	242
1264	241
1263	242
1263	246
1263	238
1263	246
1264	247
1265	242
1266	243
1265	246
1264	245
1263	245
1264	241
1266	247
1266	246
1264	247
1266	244
1264	247
1265	246
1268	247
1266	251
1264	244
1265	242
1266	245
1266	243
1265	242
1264	244
1265	246
1266	243
1267	245
1265	247
1266	242
1266	241
1268	247
1267	243
1268	246
1269	241
1269	248
1267	246
1268	243
1267	241
1269	242
1271	243
1270	247
1270	247
1270	246
1269	241
1272	251
1270	246
1271	244
1269	245
1271	242
1272	240
1269	242
1270	240
1272	238
1271	237
1271	242
1271	246
1272	249
1272	241
1272	244
1272	245
1272	244
1269	242
1272	240
1272	247
1271	242
1270	243
1272	244
1270	247
1272	253
1270	240
1272	248
1271	246
1270	245
1270	247
1272	245
1270	240
1271	238
1269	245
1271	245
1268	245
1269	243
1270	239
1272	241
1269	240
1271	242
1270	242
1270	243
1269	246
1268	240
1270	242
1269	242
1268	246
1268	242
1270	247
1267	249
1267	247
1269	245
1268	240
1267	244
1268	241
1267	243
1266	241
1267	239
1267	242
1267	245
1266	244
1268	241
1265	244
1266	246
1267	242
1264	246
1266	245
1265	244
1266	243
1265	242
1267	244
1265	245
1265	242
1266	244
1266	244
1264	244
1265	239
1263	238
1264	247
1266	240
1265	246
1264	245
1265	238
1263	246
1266	241
1265	247
1263	245
1264	244
1264	245
1265	249
1265	244
1263	242
1264	244
1265	241
1265	244
1266	240
1266	244
1265	234
1265	234
1265	241
1265	240
1266	235
1265	244
1265	239
1265	239
1264	242
1264	242
1264	238
1265	244
1264	242
1263	243
1264	243
1265	242
1266	244
1265	244
1263	251
1264	237
1264	243
1265	248
1266	245
1264	240
1265	245
1263	241
1263	242
1265	244
1264	244
1263	238
1263	247
1264	240
1264	244
1263	245
1263	246
1263	236
1263	243
1263	248
1263	245
1264	250
1261	249
1262	247
1263	241
1263	246
1264	243
1262	247
1263	245
1262	247
1262	244
1261	245
1263	243
1263	241
1262	242
1261	241
1263	241
1262	237
1262	243
1260	243
1263	244
1263	244
1263	239
1262	240
1261	243
1261	243
1261	244
1261	243
1264	241
1261	241
1261	241
1263	248
1262	241
1262	241
1265	240
1261	242
1261	244
1261	239
1262	241
1262	246
1260	240
1260	239
1262	239
1262	244
1261	245
1262	244
1260	241
1261	244
1259	240
1261	244
1261	247
1259	244
1263	244
1262	243
1260	252
1261	246
1262	246
1261	243
1263	244
1259	246
1261	246
1260	245
1259	242
1260	245
1259	240
1261	248
1260	242
1260	240
1261	245
1261	247
1261	239
1262	238
1262	236
1261	244
1262	242
1259	240
1261	244
1261	242
1262	241
1261	241
1261	242
1261	241
1262	243
1261	244
1261	242
1262	240
1261	242
1260	242
1263	243
1262	237
1262	251
1263	250
1263	243
1262	247
1261	239
1262	240
1262	244
1262	245
1261	242
1262	246
1261	242
1259	242
1261	239
1263	240
1261	242
1260	245
1261	245
1262	245
1261	246
1262	246
1261	245
1263	243
1262	239
1261	243
1262	242
1262	240
1262	240
1261	239
1261	243
1261	241
1261	243
1261	248
1261	237
1263	236
1258	241
1261	257
1261	246
1263	245
1262	248
1262	241
1261	241
1262	238
1261	237
1260	242
1261	243
1262	246
1261	240
1267	242
1261	244
1261	241
1261	241
1263	241
1260	239
1260	238
1260	239
1260	239
1260	237
1261	244
1261	248
1258	240
1260	248
1260	242
1259	241
1259	238
1261	240
1259	237
1260	240
1259	240
1260	244
1259	242
1261	236
1258	241
1259	236
1259	245
1261	244
1259	245
1256	242
1261	235
1260	241
1261	242
1260	246
1261	241
1260	243
1262	246
1261	242
1262	243
1260	245
1262	247
1257	260
1257	256
1257	260
1255	260
1253	262
1253	272
1258	264
1250	256
1253	270
1256	267
1254	268
1256	266
1255	269
1254	272
1253	268
1253	273
1252	280
1252	272
1251	277
1250	276
1252	282
1249	281
1253	282
1250	287
1249	286
1248	290
1250	285
1250	294
1250	292
1249	292
1251	299
1250	295
1249	296
1250	288
1249	293
1250	294
1249	293
1250	296
1247	296
1247	296
1247	299
1248	299
1245	300
1247	303
1247	301
1249	302
1244	316
1244	309
1246	308
1245	311
1243	317
1245	312
1243	307
1246	309
1247	317
1243	312
1244	310
1243	320
1243	309
1243	320
1243	320
1243	317
1242	319
1241	324
1243	330
1242	321
1240	330
1243	333
1241	329
1240	335
1239	333
1241	326
1243	331
1240	336
1239	335
1240	337
1238	335
1240	334
1237	340
1238	335
1237	345
1238	344
1242	343
1238	343
1236	347
1236	351
1235	348
1236	350
1234	345
1235	354
1235	351
1235	357
1235	358
1234	356
1234	357
1236	361
1235	363
1233	366
1234	365
1231	362
1229	360
1232	366
1232	371
1229	362
1230	370
1229	366
1230	368
1231	366
1230	372
1231	372
1229	372
1229	373
1229	376
1228	370
1228	376
1228	373
1227	373
1229	377
1228	371
1228	381
1227	378
1227	380
1228	378
1227	381
1225	377
1225	393
1226	385
1224	392
1223	386
1225	390
1226	382
1224	386
1223	389
1223	392
1222	384
1226	391
1223	392
1223	390
1224	393
1224	396
1225	394
1223	407
1222	405
1224	399
1222	396
1223	401
1223	402
1219	413
1220	408
1218	407
1219	400
1218	407
1219	408
1218	404
1217	415
1218	414
1216	406
1217	414
1217	417
1217	423
1217	418
1215	420
1215	408
1212	420
1215	421
1214	427
1213	421
1213	420
1215	420
1214	431
1213	425
1214	435
1213	436
1212	429
1212	433
1211	428
1211	437
1208	439
1212	429
1209	441
1213	442
1211	444
1209	442
1208	442
1208	440
1207	442
1208	444
1209	436
1207	445
1201	444
1205	452
1206	448
1209	446
1206	449
1205	450
1205	454
1204	464
1205	451
1204	458
1202	465
1204	461
1204	464
1203	458
1201	468
1202	463
1200	462
1201	461
1201	468
1205	467
1203	468
1201	468
1199	464
1195	475
1198	477
1199	470
1198	470
1197	472
1195	472
1197	480
1199	473
1200	476
1197	485
1197	484
1196	475
1193	485
1195	481
1190	486
1195	483
1195	487
1196	484
1194	491
1194	490
1192	492
1193	492
1195	498
1194	493
1193	495
1193	490
1193	497
1191	496
1191	494
1190	507
1191	503
1189	494
1191	504
1189	505
1187	506
1188	512
1193	507
1191	509
1188	509
1191	513
1189	510
1187	512
1189	509
1187	518
1188	513
1187	510
1184	520
1184	520
1187	516
1186	521
1185	514
1186	523
1187	515
1185	520
1185	513
1183	520
1186	528
1180	533
1185	532
1181	525
1184	534
1184	529
1180	538
1182	531
1183	535
1182	539
1180	542
1181	535
1183	538
1182	536
1181	538
1181	536
1179	540
1181	540
1182	544
1180	544
1178	555
1179	548
1182	550
1177	548
1178	552
1176	551
1179	543
1179	551
1180	559
1176	554
1176	562
1177	559
1179	561
1179	554
1176	564
1177	562
1177	563
1172	564
1173	563
1171	567
1176	565
1173	570
1173	566
1173	568
1173	568
1171	577
1172	575
1171	566
1170	578
1170	578
1173	577
1168	576
1167	579
1170	583
1172	588
1169	585
1169	587
1171	575
1168	585
1166	593
1168	594
1167	591
1167	585
1167	592
1168	591
1165	591
1167	584
1164	595
1165	597
1165	588
1164	600
1162	599
1164	592
1163	603
1163	607
1165	594
1162	596
1160	611
1161	595
1162	597
1162	598
1159	604
1163	604
1158	602
1161	602
1159	605
1160	611
1159	610
1156	608
1156	604
1158	613
1157	619
1157	619
1156	619
1155	615
1156	621
1155	619
1155	622
1155	619
1150	630
1153	618
1153	628
1154	632
1152	621
1152	628
1151	630
1153	629
1152	639
1152	633
1149	632
1152	633
1149	642
1149	638
1147	640
1150	640
1148	638
1150	643
1145	647
1147	651
1146	652
1147	644
1147	640
1144	648
1145	643
1143	653
1144	656
1144	660
1145	648
1143	652
1142	658
1142	645
1144	656
1140	656
1139	654
1142	659
1142	661
1140	664
1141	663
1140	667
1139	665
1139	657
1139	668
1138	667
1137	672
1139	668
1137	666
1138	668
1139	674
1137	673
1137	676
1134	673
1135	678
1138	674
1134	687
1136	679
1133	684
1131	688
1132	681
1135	686
1133	681
1133	688
1132	695
1131	691
1132	686
1132	691
1133	697
1130	696
1131	696
1128	696
1132	698
1129	694
1131	700
1130	699
1127	697
1129	702
1125	701
1128	706
1125	705
1125	700
1127	699
1125	704
1126	706
1124	712
1120	714
1123	712
1122	710
1122	715
1118	720
1122	718
1123	715
1119	714
1123	718
1117	714
1117	722
1118	720
1118	726
1117	719
1116	728
1117	722
1118	722
1116	729
1118	727
1117	727
1114	732
1117	721
1113	738
1114	731
1112	739
1113	735
1114	737
1113	730
1112	731
1109	735
1111	750
1111	741
1110	748
1107	748
1109	741
1108	739
1109	748
1106	745
1107	751
1104	750
1103	756
1105	753
1108	755
1104	754
1104	750
1104	755
1104	756
1104	757
1103	767
1100	769
1103	757
1102	758
1100	761
1099	765
1099	761
1101	765
1101	765
1098	765
1097	769
1100	770
1099	762
1098	766
1097	772
1097	769
1095	768
1098	775
1094	772
1093	764
1095	776
1099	777
1093	782
1094	786
1093	790
1093	780
1092	778
1093	786
1093	786
1092	784
1091	784
1091	783
1089	791
1090	790
1092	783
1092	790
1090	794
1088	796
1088	795
1088	795
1088	796
1092	804
1090	802
1088	804
1085	811
1088	805
1089	806
1086	800
1087	806
1084	800
1087	803
1088	802
1084	805
1083	815
1084	819
1085	815
1083	820
1080	814
1083	818
1080	821
1080	820
1083	816
1082	815
1079	826
1080	818
1081	820
1079	827
1082	819
1079	825
1081	826
1077	834
1076	830
1077	820
1078	832
1076	830
1075	838
1075	837
1074	834
1074	831
1075	839
1077	838
1074	838
1075	836
1073	839
1073	844
1074	838
1073	848
1072	839
1071	843
1072	845
1070	842
1069	847
1070	847
1068	845
1069	849
1067	851
1069	855
1068	852
1065	852
1068	846
1066	867
1064	860
1067	853
1061	863
1061	861
1063	861
1063	862
1061	866
1061	868
1060	870
1059	863
1058	871
1061	864
1062	868
1061	861
1057	867
1058	874
1057	880
1053	878
1057	879
1056	875
1052	883
1053	875
1054	885
1052	886
1052	886
1050	882
1053	885
1052	887
1051	886
1049	887
1050	889
1050	887
1049	889
1047	888
1047	892
1049	884
1047	899
1044	887
1048	891
1045	900
1045	904
1047	895
1043	904
1043	894
1042	905
1044	902
1040	900
1042	899
1040	910
1042	906
1043	912
1040	904
1040	908
1038	914
1039	910
1038	909
1035	917
1035	908
1034	912
1035	917
1037	913
1034	909
1031	923
1033	918
1028	918
1032	933
1032	925
1033	919
1030	925
1027	924
1032	923
1029	935
1030	927
1026	924
1031	925
1028	930
1030	934
1025	937
1029	936
1024	933
1027	935
1021	935
1026	934
1024	937
1025	939
1024	936
1022	946
1024	943
1025	943
1022	950
