ADC1	ADC2
1385	27
1206	32
1494	33
1305	25
1208	31
1490	30
1251	26
1342	44
1456	26
1224	31
1459	34
1390	24
1209	29
1492	32
1311	24
1204	30
1491	29
1245	28
1327	46
1458	27
1219	28
1453	36
1395	23
1205	30
1492	34
1311	26
1209	31
1493	27
1247	27
1320	46
1454	28
1221	30
1451	39
1400	24
1207	29
1493	33
1316	26
1209	30
1495	29
1249	32
1308	47
1461	27
1221	32
1454	37
1403	29
1206	29
1491	32
1320	24
1205	29
1487	31
1253	29
1293	43
1460	26
1224	29
1448	33
1402	26
1206	29
1490	32
1319	25
1210	30
1492	30
1258	27
1286	47
1464	29
1225	29
1445	37
1406	25
1210	30
1491	34
1323	26
1208	30
1497	30
1257	24
1275	48
1467	27
1223	29
1441	35
1409	28
1205	31
1483	34
1325	25
1207	28
1495	32
1259	27
1263	46
1469	27
1228	26
1438	36
1411	28
1211	32
1487	36
1332	25
1205	33
1499	30
1262	28
1252	45
1474	29
1229	26
1432	42
1413	26
1209	32
1485	35
1335	30
1203	30
1500	32
1267	28
1249	42
1471	28
1225	28
1430	37
1419	30
1207	30
1481	34
1338	24
1205	31
1498	32
1270	25
1239	41
1473	27
1227	27
1423	41
1424	28
1210	28
1480	35
1347	24
1202	29
1494	31
1269	28
1236	41
1478	28
1232	27
1419	43
1427	24
1206	27
1480	32
1349	23
1203	27
1495	31
1274	24
1228	37
1478	28
1232	28
1411	41
1429	26
1209	30
1477	32
1351	26
1204	31
1493	30
1279	27
1227	37
1481	28
1232	27
1398	41
1428	27
1217	29
1477	38
1356	24
1205	30
1492	30
1279	27
1220	36
1478	26
1234	28
1393	42
1435	30
1209	27
1473	34
1360	23
1204	31
1495	33
1285	25
1218	35
1484	29
1237	29
1386	42
1437	26
1214	33
1469	34
1366	26
1207	29
1493	36
1282	26
1215	34
1485	29
1241	27
1379	42
1438	27
1211	32
1471	34
1368	25
1207	30
1493	32
1290	27
1210	36
1483	32
1237	26
1373	44
1440	25
1214	31
1470	35
1380	26
1204	31
1493	36
1290	25
1207	36
1483	28
1239	25
1357	45
1444	26
1212	28
1466	33
1374	28
1204	30
1496	32
1295	26
1211	33
1485	28
1240	28
1344	44
1445	27
1219	30
1463	36
1381	25
1205	32
1494	33
1305	27
1214	32
1487	28
1244	29
1326	44
1448	28
1217	29
1458	40
1385	31
1207	28
1490	32
1301	26
1207	28
1486	31
1245	28
1311	47
1455	28
1215	27
1450	35
1395	28
1206	32
1487	32
1308	28
1207	30
1493	32
1244	27
1298	46
1454	30
1218	30
1449	37
1393	26
1207	30
1488	31
1312	24
1207	28
1492	29
1251	28
1289	46
1461	28
1218	30
1449	36
1399	27
1207	28
1490	32
1313	26
1202	32
1490	28
1250	26
1276	49
1464	27
1216	28
1442	38
1401	26
1206	32
1491	34
1316	24
1203	32
1488	30
1255	26
1267	47
1461	27
1220	30
1437	37
1401	27
1206	30
1487	34
1321	27
1199	31
1491	30
1256	29
1257	43
1468	31
1220	30
1435	36
1408	26
1205	31
1485	34
1330	27
1205	30
1493	31
1260	31
1248	45
1465	29
1223	28
1429	34
1410	29
1210	31
1482	35
1329	25
1204	31
1487	32
1262	29
1236	43
1467	31
1224	26
1428	37
1417	26
1211	32
1481	34
1337	24
1202	29
1498	30
1267	27
1234	37
1472	28
1225	28
1420	39
1420	24
1204	32
1476	37
1345	27
1200	29
1493	30
1271	31
1226	39
1474	28
1229	28
1414	41
1424	27
1207	29
1476	34
1346	25
1202	29
1489	32
1274	28
1219	37
1477	29
1230	26
1408	41
1430	27
1210	31
1479	38
1352	26
1199	32
1492	33
1279	26
1218	36
1477	31
1227	29
1396	42
1432	28
1210	33
1474	34
1357	25
1201	30
1497	32
1280	25
1219	35
1483	29
1229	25
1391	43
1437	28
1216	25
1469	35
1367	25
1201	29
1490	33
1284	26
1213	33
1483	27
1234	30
1382	42
1442	27
1214	29
1465	37
1368	24
1200	30
1493	33
1290	24
1210	33
1484	28
1237	30
1368	41
1443	28
1213	30
1468	35
1374	24
1203	33
1488	33
1294	26
1205	33
1486	29
1237	27
1350	47
1447	28
1214	26
1460	36
1380	26
1205	29
1488	31
1302	27
1208	30
1488	30
1241	27
1331	43
1452	28
1215	27
1448	38
1385	25
1201	29
1487	36
1308	28
1207	32
1490	29
1245	28
1317	42
1452	29
1219	30
1450	37
1392	28
1205	30
1485	34
1310	24
1201	33
1490	29
1249	28
1299	45
1457	29
1221	29
1445	40
1396	25
1203	30
1487	32
1314	27
1202	34
1490	32
1251	29
1284	47
1458	28
1223	31
1441	36
1400	27
1206	30
1486	32
1318	26
1206	33
1491	30
1257	23
1270	50
1461	27
1222	30
1435	37
1407	26
1204	29
1485	33
1322	27
1201	30
1494	32
1259	26
1253	44
1468	32
1222	29
1428	37
1410	24
1206	28
1481	34
1330	22
1202	30
1494	32
1262	28
1248	44
1468	27
1225	28
1424	36
1419	26
1206	32
1481	33
1339	28
1203	32
1496	30
1264	24
1243	42
1473	28
1229	27
1420	39
1417	26
1206	28
1477	37
1337	25
1200	31
1492	30
1267	26
1239	42
1473	27
1228	28
1421	38
1415	25
1206	28
1482	35
1341	25
1200	33
1493	32
1266	26
1229	37
1475	26
1229	28
1416	40
1423	27
1206	31
1481	34
1344	26
1205	29
1496	30
1270	26
1229	40
1473	29
1228	27
1411	42
1426	26
1208	32
1479	34
1346	24
1203	29
1491	32
1269	29
1223	37
1479	26
1230	29
1404	43
1428	26
1204	32
1474	35
1351	28
1201	32
1493	34
1273	24
1221	40
1479	28
1231	26
1400	42
1428	24
1208	28
1476	33
1357	23
1203	26
1493	30
1281	25
1221	35
1478	30
1231	29
1392	39
1435	25
1207	31
1475	34
1361	26
1202	30
1493	35
1280	25
1215	34
1476	29
1233	26
1388	42
1441	25
1211	32
1472	37
1367	28
1203	31
1490	32
1286	26
1215	35
1481	27
1239	26
1368	44
1437	28
1211	30
1469	35
1374	25
1203	30
1493	32
1292	25
1211	36
1483	27
1236	28
1358	44
1443	27
1210	30
1460	39
1373	23
1200	32
1493	32
1295	26
1211	34
1484	29
1237	29
1345	47
1446	27
1213	30
1461	36
1379	24
1201	30
1493	29
1297	26
1209	32
1487	32
1240	29
1331	46
1448	25
1216	30
1459	38
1387	25
1205	31
1492	34
1305	24
1206	33
1486	32
1244	30
1315	49
1450	29
1218	28
1448	38
1390	25
1202	28
1490	34
1308	27
1205	34
1487	28
1250	24
1299	45
1456	27
1219	29
1447	40
1399	24
1206	32
1489	33
1309	26
1206	29
1487	31
1250	26
1279	46
1457	29
1217	27
1440	37
1398	28
1200	31
1488	32
1319	25
1203	31
1489	30
1254	27
1268	45
1457	29
1220	28
1439	39
1405	26
1208	28
1485	32
1321	26
1203	29
1491	29
1253	27
1258	48
1466	28
1218	29
1437	40
1406	26
1204	29
1480	33
1324	25
1204	30
1492	32
1256	27
1252	42
1469	30
1221	28
1433	37
1408	25
1206	29
1482	34
1331	26
1204	33
1489	30
1264	26
1242	43
1466	29
1221	30
1426	38
1414	27
1208	32
1481	30
1334	26
1199	32
1493	32
1261	26
1237	41
1471	28
1227	30
1423	36
1415	26
1207	30
1480	38
1340	25
1202	30
1495	30
1270	23
1233	39
1468	29
1226	27
1416	42
1417	28
1205	25
1483	30
1345	24
1204	31
1491	29
1271	26
1224	40
1477	29
1229	27
1412	37
1424	27
1210	34
1476	36
1348	27
1199	29
1492	30
1271	26
1219	35
1481	30
1231	29
1400	40
1430	29
1208	29
1467	35
1354	27
1201	29
1492	33
1278	30
