ADC1	ADC2
3093	28
2783	28
3183	27
2974	21
2778	29
3203	27
2868	25
2836	44
3172	26
2815	26
3107	36
3095	27
2786	31
3187	34
2976	24
2778	27
3203	31
2876	24
2839	42
3177	28
2815	27
3113	40
3093	26
2789	27
3185	33
2980	23
2783	29
3206	32
2877	25
2837	48
3176	26
2817	27
3108	44
3099	24
2791	30
3190	32
2983	25
2785	32
3207	34
2872	25
2832	44
3176	27
2821	25
3109	39
3099	23
2790	32
3185	34
2986	24
2792	32
3207	30
2883	25
2831	42
3177	25
2821	28
3112	43
3102	22
2794	26
3186	31
2989	22
2787	30
3212	26
2878	24
2837	48
3180	28
2823	25
3101	43
3101	22
2793	32
3185	33
2994	26
2783	28
3215	32
2884	26
2825	43
3179	25
2826	25
3099	46
3107	25
2792	26
3186	33
2993	24
2783	32
3218	33
2889	26
2827	42
3183	29
2824	29
3094	42
3107	26
2792	27
3182	36
3000	24
2781	31
3208	30
2888	28
2821	44
3185	28
2825	26
3089	42
3113	26
2795	26
3183	29
3002	24
2783	30
3210	30
2890	30
2815	38
3185	24
2823	25
3085	45
3111	24
2794	29
3185	36
3001	25
2785	29
3206	33
2886	28
2813	38
3187	32
2825	27
3081	44
3115	25
2791	28
3180	32
3005	25
2783	32
3209	30
2889	21
2811	38
3181	27
2830	27
3077	44
3113	28
2797	27
3184	40
3006	23
2780	32
3208	34
2890	23
2815	40
3185	28
2828	26
3078	50
3114	25
2790	29
3181	37
3005	22
2782	28
3205	30
2890	23
2810	39
3183	28
2828	28
3077	42
3116	28
2791	28
3184	36
3005	23
2781	32
3205	32
2894	24
2809	38
3184	28
2827	25
3075	44
3113	25
2792	30
3183	35
3007	26
2784	31
3206	31
2894	27
2810	39
3185	28
2827	30
3071	46
3117	25
2793	27
3185	40
3005	24
2781	32
3209	36
2893	27
2810	40
3186	32
2826	28
3071	43
3119	29
2798	29
3183	30
3010	27
2778	32
3207	32
2895	24
2808	37
3189	29
2829	26
3071	45
3121	27
2797	29
3178	36
3012	25
2784	30
3209	32
2898	26
2808	38
3187	30
2829	29
3060	48
3120	26
2797	32
3179	36
3017	24
2781	32
3208	31
2903	24
2809	38
3192	27
2831	27
3057	50
3117	30
2795	27
3182	34
3020	20
2782	30
3207	32
2902	20
2804	37
3192	28
2834	25
3056	46
3125	23
2795	28
3181	36
3024	26
2787	29
3208	32
2905	24
2804	38
3194	29
2834	30
3068	48
3127	26
2799	30
3181	35
3023	24
2787	34
3209	32
2904	24
2808	36
3189	23
2834	27
3065	46
3126	26
2796	28
3176	36
3020	25
2787	32
3213	28
2911	25
2812	37
3194	26
2836	30
3056	45
3131	26
2803	32
3181	37
3024	23
2792	28
3208	33
2910	24
2809	38
3195	32
2841	30
3058	45
3131	26
2805	30
3178	36
3030	24
2790	28
3211	29
2914	25
2819	37
3193	30
2840	27
3057	49
3132	26
2807	28
3181	37
3024	24
2789	29
3211	34
2911	23
2815	37
3197	30
2841	29
3056	50
3137	27
2802	27
3186	33
3029	26
2794	31
3215	29
2911	25
2813	37
3195	30
2841	25
3063	49
3133	27
2805	32
3190	38
3029	21
2793	31
3217	36
2915	25
2814	38
3197	28
2843	27
3069	46
3129	26
2803	28
3185	36
3023	24
2792	26
3215	30
2908	24
2817	37
3199	26
2842	27
3072	44
3134	28
2810	29
3186	37
3028	26
2795	29
3215	31
2913	24
2815	32
3199	23
2844	26
3069	40
3137	23
2809	27
3191	32
3033	22
2797	26
3216	32
2919	24
2814	39
3198	26
2845	26
3065	46
3137	27
2807	29
3181	33
3035	22
2795	29
3222	34
2921	23
2814	41
3202	24
2848	25
3055	49
3140	29
2811	28
3185	41
3038	25
2794	30
3217	34
2923	24
2813	35
3201	29
2847	26
3051	48
3142	26
2812	30
3179	35
3040	24
2792	30
3223	34
2924	21
2813	33
3207	28
2844	26
3038	51
3145	26
2811	25
3175	36
3045	25
2796	30
3217	34
2927	22
2810	34
3201	30
2849	23
3032	52
3145	25
2813	29
3175	30
3048	26
2797	30
3214	28
2929	28
2807	36
3201	25
2847	26
3021	48
3145	25
2814	29
3177	36
3046	26
2796	30
3212	31
2933	23
2807	34
3203	29
2851	30
3021	52
3148	27
2819	24
3180	32
3048	23
2796	36
3215	32
2934	27
2809	33
3207	27
2856	28
3015	49
3150	25
2813	26
3179	35
3056	21
2795	28
3214	30
2932	24
2801	33
3206	27
2854	26
3005	52
3149	26
2817	27
3175	35
3055	20
2796	28
3213	33
2940	26
2805	37
3205	28
2852	25
3004	48
3153	27
2814	31
3169	38
3056	24
2797	30
3214	30
2938	21
2803	30
3204	25
2852	30
2997	53
3153	30
2815	30
3167	38
3057	24
2794	30
3215	31
2937	22
2798	29
3203	27
2854	26
2989	50
3153	25
2818	30
3159	36
3059	20
2795	30
3213	29
2936	26
2799	33
3203	32
2855	24
2986	54
3153	25
2809	28
3167	35
3058	25
2795	28
3212	29
2934	25
2802	33
3205	28
2853	23
2987	49
3154	26
2814	26
3167	36
3053	22
2793	27
3210	33
2937	22
2801	37
3203	30
2856	28
2976	54
3153	26
2813	29
3163	34
3059	28
2791	30
3210	30
2938	22
2799	32
3206	29
2854	24
2967	52
3154	26
2813	30
3160	36
3061	24
2794	30
3209	32
2941	28
2795	34
3205	29
2857	29
2965	54
3159	27
2811	29
3159	40
3064	25
2792	28
3208	30
2943	24
2798	32
3207	30
2856	25
2961	44
3158	27
2813	29
3163	40
3068	26
2795	29
3212	30
2946	22
2799	30
3208	29
2858	28
2957	53
3157	30
2817	24
3159	36
3065	30
2796	24
3209	32
2942	25
2799	30
3206	28
2855	25
2952	51
3161	28
2810	24
3157	40
3068	24
2797	29
3208	32
2946	24
2796	32
3199	30
2857	28
2943	52
3160	29
2815	26
3152	39
3070	23
2797	33
3210	36
2947	22
2792	30
3209	32
2857	25
2930	55
3163	24
2814	27
3151	35
3071	22
2793	24
3204	35
2948	24
2793	37
3208	32
2863	27
2926	54
3161	27
2814	27
3152	38
3073	28
2792	26
3209	34
2954	25
2795	32
3204	32
2862	24
2929	52
3161	28
2818	28
3147	39
3071	25
2793	28
3208	35
2951	20
2793	32
3206	32
2859	26
2924	50
3157	26
2814	26
3154	38
3071	24
2792	29
3202	34
2954	26
2790	31
3204	30
2855	24
2917	51
3162	27
2818	25
3151	36
3069	26
2792	29
3205	32
2952	23
2791	28
3205	29
2858	25
2917	53
3164	28
2813	27
3147	38
3070	22
2790	28
3203	32
2950	25
2792	34
3201	30
2861	25
2910	50
3161	23
2812	28
3146	40
3072	27
2793	32
3201	32
2951	22
2791	30
3205	26
2861	24
2905	52
3161	26
2815	27
3144	37
3075	23
2792	30
3202	33
2954	26
2794	29
3204	29
2864	22
2897	49
3164	28
2811	27
3143	40
3075	23
2792	32
3208	34
2957	24
2792	26
3206	32
2862	21
2897	53
3160	25
2812	25
3140	40
3081	26
2791	27
3200	32
2956	22
2791	32
3205	29
2864	25
2891	59
3166	28
2817	26
3140	38
3078	25
2792	28
3205	34
2962	22
2791	32
3203	29
2865	23
2891	46
3165	23
2814	24
3135	40
3083	25
2789	28
3197	34
2964	25
2792	32
3205	29
2865	25
2877	52
3171	27
2815	28
3133	39
3084	25
2790	30
3201	35
2965	21
2785	32
3201	30
2868	23
2867	53
3169	26
2814	27
3128	42
3084	23
2790	27
3198	32
2970	26
2791	31
3205	32
2867	24
2857	50
3169	26
2819	26
3126	40
3088	26
2790	29
3196	34
2971	21
2786	31
3208	29
2871	25
2851	46
3172	32
2815	28
3124	40
3089	23
2793	25
3195	32
2975	22
2785	28
3208	32
2874	27
2851	41
3174	22
2818	26
3119	40
3095	24
2790	29
3196	28
2980	24
2784	30
3204	29
2871	20
2842	47
3177	24
2815	27
3119	41
3091	24
2794	28
3190	31
2981	16
2784	26
3206	31
2877	25
2837	44
3176	26
2819	29
3115	39
3097	25
2791	28
3190	32
2982	22
2786	28
3205	26
2875	20
2833	44
3179	28
2822	27
3110	41
3101	24
2793	30
3193	40
2983	26
2785	34
3205	30
2879	23
2834	47
3177	28
2821	29
3113	44
3103	30
2790	28
3190	36
2985	25
2785	32
3205	32
2880	27
2834	45
3182	30
2823	29
3113	44
3101	28
2796	33
3196	34
2989	24
2787	33
3209	33
2883	28
2833	46
3182	33
2825	27
3116	44
3112	28
2801	32
3196	37
2995	23
2789	32
3209	33
2890	30
2833	44
3185	26
2827	30
3105	45
3107	26
2798	31
3195	34
2998	24
2788	29
3207	33
2887	30
2826	44
3187	28
2829	27
3102	41
3107	28
2797	32
3193	35
3000	24
2785	32
3201	37
2889	29
2815	42
3188	27
2825	30
3095	44
3110	26
2794	28
3189	34
3000	23
2783	30
3204	36
2890	28
2809	40
3185	30
2821	25
3086	46
3108	25
2787	27
3183	39
2998	24
2780	31
3203	32
2885	25
2804	40
3184	29
2824	30
3087	41
3108	27
2793	28
3185	35
3001	24
2785	27
3204	31
2889	28
2812	39
3184	29
2826	29
3090	45
3111	25
2795	32
3188	35
3007	22
2785	32
3207	23
2896	25
2812	10
3189	9
2824	8
3087	40
3116	27
2799	33
3188	36
3009	21
2788	34
3207	33
2895	29
2822	42
3194	28
2835	29
3094	44
3120	26
2804	28
3195	36
3014	24
2793	32
3216	33
2903	25
2821	41
3197	29
2837	26
3093	42
3123	27
2809	31
3197	39
3017	22
2797	30
3219	33
2908	26
2825	40
3201	28
2840	29
3099	46
3129	27
2813	26
3199	36
3022	11
2799	14
3218	10
2911	19
2826	38
3203	27
2842	28
3096	50
3133	28
2812	32
3202	40
3029	26
2799	32
3221	31
2913	24
2828	39
3205	28
2843	29
3099	29
3137	17
2816	16
3205	36
3031	25
2801	30
3220	32
2921	22
2828	40
3208	27
2853	26
3099	46
3138	27
2818	30
3202	38
3034	25
2807	36
3224	37
2922	28
2829	40
3211	27
2851	26
3100	51
3135	26
2820	30
3202	38
3033	25
2808	27
3225	33
2922	26
2823	39
3211	29
2852	27
3096	43
3143	17
2823	20
3209	26
3039	24
2807	32
3224	32
2921	26
2833	40
3214	32
2855	27
3099	46
3139	25
2820	24
3203	28
3038	17
2813	20
3223	32
2923	28
2831	38
3217	27
2858	26
3097	45
3144	28
2826	28
3205	37
3041	22
2810	32
3226	34
2925	22
2830	38
3212	26
2860	32
3093	48
3145	27
2821	30
3205	41
3040	24
2808	34
3224	34
2923	25
2831	40
3213	28
2855	30
3084	48
3143	29
2822	30
3202	38
3039	24
2807	33
3230	34
2926	26
2830	38
3212	31
2855	30
3092	42
3137	32
2824	30
3201	37
3036	25
2803	31
3225	33
2924	29
2825	37
3210	27
2848	28
3092	46
3141	25
2819	31
3204	34
3038	24
2804	27
3226	34
2920	25
2830	38
3211	32
2849	30
3096	45
3137	26
2815	29
3204	34
3031	24
2806	32
3218	29
2921	27
2827	38
3207	31
2851	27
3094	46
3133	29
2814	29
3204	36
3031	24
2805	32
3218	36
2914	28
2825	36
3207	30
2845	30
3092	44
3134	24
2816	29
3205	36
3029	23
2804	31
3221	32
2913	27
2821	35
3205	30
2849	28
3093	45
3132	26
2816	34
3197	35
3027	28
2800	32
3215	34
2914	26
2822	37
3206	29
2842	27
3088	44
3132	28
2811	28
3198	36
3030	23
2798	31
3214	29
2909	26
2813	38
3201	30
2839	29
3081	48
3129	25
2809	31
3193	33
3023	23
2791	34
3213	36
2912	25
2811	41
3199	30
2838	30
3071	45
3128	28
2805	29
3188	40
3027	24
2792	32
3209	32
2909	26
2804	37
3193	30
2837	27
3065	46
3130	26
2797	29
3181	38
3022	24
2783	29
3200	38
2902	26
2797	37
3195	29
2832	28
3060	44
3123	26
2797	29
3176	40
3022	27
2780	33
3202	32
2906	24
2795	39
3192	30
2825	30
3053	49
3120	28
2795	29
3177	40
3020	29
2776	32
3200	32
2903	29
2791	39
3187	34
2826	28
3047	45
3116	28
2792	28
3173	37
3018	25
2775	32
3197	31
2906	25
2791	36
3189	28
2824	28
3042	48
3125	28
2794	31
3167	39
3023	26
2774	34
3196	33
2906	26
2791	35
3190	31
2828	26
3037	49
3120	24
2791	30
3171	37
3021	22
2780	32
3195	34
2904	27
2790	34
3191	32
2826	31
3037	50
3123	28
2790	28
3168	38
3023	26
2778	29
3197	37
2909	23
2790	36
3188	30
2827	24
3031	49
3124	28
2793	29
3172	38
3028	24
2779	28
3197	33
2910	27
2788	33
3190	29
2829	26
3017	53
3126	26
2799	29
3166	38
3023	27
2773	34
3196	33
2906	29
2787	34
3188	29
2829	28
3033	55
3126	28
2794	32
3168	36
3026	26
2778	32
3197	29
2906	26
2788	32
3189	27
2829	27
3031	49
3123	29
2794	29
3164	38
3027	25
2777	27
3194	33
2906	26
2793	35
3191	32
2828	26
3033	48
3126	27
2791	33
3170	35
3023	24
2777	34
3203	36
2910	27
2793	33
3191	33
2832	27
3038	49
3124	26
2795	30
3173	36
3028	24
2781	30
3198	32
2908	24
2792	36
3194	29
2830	30
3039	49
3124	29
2795	30
3171	37
3029	21
2780	29
3200	32
2912	28
2795	36
3191	31
2832	28
3046	48
3132	27
2799	29
3185	36
3026	25
2783	30
3205	33
2914	26
2800	37
3201	32
2837	26
3054	50
3134	28
2800	30
3182	38
3035	25
2793	34
3210	32
2916	27
2809	36
3205	29
2842	26
3063	49
3136	29
2809	31
3187	38
3036	22
2791	33
3209	33
2919	24
2807	40
3204	29
2841	29
3069	49
3139	27
2810	29
3187	33
3041	28
2805	30
3220	32
2927	26
2817	37
3213	30
2853	29
3080	51
3147	28
2820	30
3199	37
3045	26
2807	32
3226	36
2930	25
2828	42
3217	31
2855	29
3086	46
3145	29
2825	30
3207	36
3047	23
2812	30
3229	31
2932	26
2826	41
3221	30
2862	28
3093	47
3153	30
2827	30
3209	34
3050	27
2814	32
3234	34
2936	24
2840	37
3223	28
2865	28
3103	51
3157	26
2833	27
3218	38
3050	25
2818	33
3241	34
2938	27
2839	40
3227	29
2868	27
3107	46
3156	29
2836	34
3220	36
3055	24
2827	30
3241	33
2941	28
2847	42
3231	30
2869	28
3121	46
3160	26
2837	32
3223	35
3054	24
2827	33
3247	36
2943	26
2850	42
3231	33
2872	25
3117	46
3160	27
2842	30
3226	36
3061	24
2830	29
3245	34
2941	24
2852	34
3230	29
2874	26
3119	46
3165	29
2842	30
3225	36
3057	24
2831	29
3246	32
2947	27
2854	38
3238	28
2876	28
3109	42
3162	29
2842	30
3221	37
3061	23
2822	35
3248	32
2945	28
2852	39
3233	30
2880	27
3115	46
3168	28
2845	28
3223	38
3063	22
2828	30
3248	32
2947	27
2851	38
3239	29
2875	29
3109	49
3168	27
2843	33
3225	37
3065	22
2834	32
3249	33
2952	27
2853	38
3234	30
2877	26
3119	47
3167	29
2844	32
3221	34
3061	24
2830	32
3245	33
2952	27
2848	37
3237	30
2876	28
3110	49
3169	28
2848	32
3222	36
3066	24
2827	34
3249	32
2948	26
2844	39
3234	28
2877	29
3108	49
3169	26
2847	30
3225	33
3066	26
2828	32
3246	32
2953	24
2845	40
3239	30
2877	26
3099	44
3168	25
2847	26
3220	34
3071	24
2831	33
3243	33
2948	28
2847	36
3235	29
2882	28
3095	50
3173	25
2844	27
3216	35
3068	21
2829	32
3243	33
2955	28
2846	38
3234	29
2876	28
3085	51
3171	28
2842	28
3218	36
3069	27
2831	28
3242	37
2950	26
2839	37
3237	30
2877	29
3083	52
3174	27
2841	26
3211	41
3071	24
2825	33
3241	31
2955	26
2836	36
3232	29
2877	28
3067	50
3170	31
2845	26
3207	36
3076	25
2822	32
3237	30
2953	26
2829	35
3229	30
2879	30
3059	51
3171	29
2836	32
3202	41
3071	21
2819	30
3235	33
2955	26
2825	37
3233	30
2875	28
3037	54
3170	27
2835	28
3193	38
3076	26
2815	30
3232	34
2956	25
2825	37
3225	32
2871	32
3036	54
3170	26
2834	30
3188	38
3068	29
2811	30
3229	32
2956	22
2815	36
3223	34
2866	29
3024	52
3163	28
2824	29
3182	43
3069	26
2809	34
3222	33
2952	23
2813	34
3223	27
2861	29
3015	51
3162	26
2822	29
3180	42
3072	25
